genome,fitness,behavior_descriptor
"[ 0.72882753  0.0460236   0.45358824 -0.35143161 -0.57901846  0.4266892
  0.74238209]",0,[0.729 0.046 0.454]
"[ 0.89387118  0.65561556 -0.74467621 -0.37038842  0.57937997 -0.24777774
  0.06237161]",0,[ 0.894  0.656 -0.745]
"[ 0.65780877  0.06208963  0.66505946 -0.53056483  0.2913469   0.30501931
  0.80427375]",0,[0.658 0.062 0.665]
"[0.05953595 0.95744799 0.61468393 0.72938799 0.3996551  0.32862869
 0.68244758]",0,[0.06  0.957 0.615]
"[ 0.15561906  0.52757596  0.98751306  0.65720204  0.56156019 -0.17744893
 -0.25395583]",0,[0.156 0.528 0.988]
"[ 0.79397031 -0.46778916  0.88699136  0.22574184  0.30584267  0.84973081
  0.95839139]",0,[ 0.794 -0.468  0.887]
"[-0.57746977 -0.50088829  0.77214446 -0.30643379 -0.85439266 -0.17762148
 -0.49250969]",0,[-0.577 -0.501  0.772]
"[-0.01301301  0.9341924  -0.61793224  0.4698843  -0.05460786  0.00213648
 -0.02781126]",0,[-0.013  0.934 -0.618]
"[-0.24935846  0.11951057 -0.64836169 -0.03045394  0.87300961  0.33914183
  0.28907302]",0,[-0.249  0.12  -0.648]
"[-0.5584329   0.99756078 -0.58009733  0.91985388  0.44071869 -0.1406231
  0.59867312]",0,[-0.558  0.998 -0.58 ]
"[-0.53069557  0.40717889 -0.93222438  0.79075899  0.06233353  0.14263003
 -0.05637535]",0,[-0.531  0.407 -0.932]
"[-0.3376281  -0.70700542  0.20421636 -0.78989479 -0.02119657 -0.05394
  0.77598167]",0,[-0.338 -0.707  0.204]
"[-0.77078986  0.80065571  0.2226221  -0.33251644  0.78853874 -0.74952209
  0.43379512]",0,[-0.771  0.801  0.223]
"[-0.83716912 -0.95635808 -0.06475328 -0.18072612  0.72805777 -0.96505573
 -0.92129855]",0,[-0.837 -0.956 -0.065]
"[ 0.02246959 -0.3927605  -0.08510957 -0.77698275  0.92465523  0.00822782
 -0.22831662]",0,[ 0.022 -0.393 -0.085]
"[-0.93512344  0.40626311  0.84002823  0.76991305 -0.4798774   0.78605914
  0.42104209]",0,[-0.935  0.406  0.84 ]
"[ 0.69661859  0.54823912  0.3408456  -0.06773751 -0.8381509  -0.84564225
  0.56711477]",0,[0.697 0.548 0.341]
"[-0.33399798 -0.4786549   0.61362449 -0.72051513 -0.84111859  0.54758573
 -0.97870893]",0,[-0.334 -0.479  0.614]
"[-0.66392759 -0.84768342  0.32499324 -0.49401939 -0.84571007  0.0866013
 -0.86266453]",0,[-0.664 -0.848  0.325]
"[ 0.95895424  0.0295402  -0.73477344 -0.48304127  0.82802837  0.41429465
  0.31367082]",0,[ 0.959  0.03  -0.735]
"[-0.51996123 -0.5591567   0.5375506   0.30910671 -0.19558709  0.87668888
 -0.10702608]",0,[-0.52  -0.559  0.538]
