genome,fitness,behavior_descriptor
"[-0.37632284 -0.66052849  0.40158294 -0.20510864 -0.0744609   0.83057892
  0.52199585]",1,[-0.376 -0.661  0.402]
"[ 0.0420585   0.33125313 -0.17383066 -0.85804866  0.01255277  0.60653268
  0.94480796]",0,[ 0.042  0.331 -0.174]
"[ 0.68367981 -0.34584983  0.8393856   0.38284142  0.63974891 -0.06959583
  0.80736113]",0,[ 0.684 -0.346  0.839]
"[ 0.67714388 -0.24320174  0.94561727 -0.27095891 -0.39452312  0.65693662
  0.70544571]",0,[ 0.677 -0.243  0.946]
"[-0.56950589 -0.86966433 -0.1953549   0.78922025 -0.87267269 -0.4881348
 -0.62254252]",0,[-0.57  -0.87  -0.195]
"[ 0.65587621 -0.55827103 -0.08458341 -0.70081731 -0.54222491 -0.78980409
 -0.470364  ]",0,[ 0.656 -0.558 -0.085]
"[-0.85309989  0.35364685 -0.41579477 -0.18036759  0.57653759 -0.60137063
 -0.87955641]",0,[-0.853  0.354 -0.416]
"[ 0.42071129  0.89424562 -0.52617483  0.83440779  0.15526966  0.16937531
  0.98659606]",0,[ 0.421  0.894 -0.526]
"[ 0.90796161  0.25467816  0.78694803  0.04500333 -0.76297539 -0.0648598
  0.49057328]",0,[0.908 0.255 0.787]
"[-0.71452931 -0.47177637  0.36119891  0.66660954  0.01929692 -0.6555233
  0.65466651]",0,[-0.715 -0.472  0.361]
"[-0.56907263  0.06368943  0.09369859  0.04965888 -0.21623859  0.20804959
  0.43683866]",0,[-0.569  0.064  0.094]
"[ 0.5475052   0.96120262  0.72296311  0.98050642  0.39099769  0.39685382
 -0.09251278]",0,[0.548 0.961 0.723]
"[ 0.93705488  0.4667594  -0.61748109  0.62975621 -0.01096848 -0.61448651
  0.57007988]",0,[ 0.937  0.467 -0.617]
"[-0.67382999 -0.46825625  0.5253607  -0.13241655 -0.5629022  -0.20023423
 -0.90102855]",0,[-0.674 -0.468  0.525]
"[-0.15424942 -0.19577936  0.34437295  0.007626   -0.30423245  0.45275356
 -0.43849606]",0,[-0.154 -0.196  0.344]
"[ 0.88174686 -0.30133447 -0.4125615  -0.74935734 -0.02199361 -0.87786468
  0.1507953 ]",0,[ 0.882 -0.301 -0.413]
"[ 0.69084632  0.3014555   0.82793605 -0.49313651 -0.11472655 -0.96231086
  0.42100271]",0,[0.691 0.301 0.828]
"[-0.96288626  0.10331742 -0.61090401  0.26950295 -0.34975188  0.0023056
  0.99446098]",0,[-0.963  0.103 -0.611]
"[-0.66975309 -0.61676741 -0.93848476 -0.49007434 -0.41436374  0.64407957
  0.07617071]",0,[-0.67  -0.617 -0.938]
"[ 0.49747472  0.32964602  0.69407752 -0.41121698 -0.44227681  0.8784563
  0.18778364]",0,[0.497 0.33  0.694]
"[-0.78273416 -0.41979147 -0.86974706  0.42628436  0.07555577  0.56683044
  0.4195325 ]",0,[-0.783 -0.42  -0.87 ]
"[-0.4307762   0.06090881 -0.98185323 -0.61153003 -0.8098536   0.61102262
 -0.20183549]",0,[-0.431  0.061 -0.982]
