genome,fitness,behavior_descriptor
"[-0.37577537 -0.66093125  0.40245519 -0.19107626 -0.08881157  0.82226465
  0.52530345]",1,[-0.376 -0.661  0.402]
"[ 0.82473746 -0.40708519 -0.59011125  0.86384338  0.4816228  -0.93375815
  0.64866657]",0,[ 0.825 -0.407 -0.59 ]
"[-0.14449894 -0.31095143 -0.34075091  0.12033443 -0.67225965  0.67035851
  0.85777362]",0,[-0.144 -0.311 -0.341]
"[-0.90660773  0.11958298 -0.82436081  0.75617944  0.39885385  0.18443745
  0.07038933]",0,[-0.907  0.12  -0.824]
"[ 0.79374569 -0.38087136 -0.5716118  -0.67835814  0.84075586 -0.55845045
  0.24529582]",0,[ 0.794 -0.381 -0.572]
"[ 0.53336752 -0.3086858   0.46684993 -0.62223536 -0.78573612 -0.33461769
  0.55492804]",0,[ 0.533 -0.309  0.467]
"[-0.00196287 -0.52881487  0.7414896  -0.66262954  0.65477602 -0.40920887
  0.66555448]",0,[-0.002 -0.529  0.741]
"[-0.69078187 -0.27889107 -0.81873976  0.85326825 -0.07557693  0.1166864
 -0.21565568]",0,[-0.691 -0.279 -0.819]
"[-0.09539162 -0.13996625  0.11064875  0.43264312  0.13823444 -0.89005046
 -0.14098022]",0,[-0.095 -0.14   0.111]
"[ 0.16776617 -0.98273181  0.24061228 -0.5727865   0.14298832  0.65178548
 -0.18881708]",0,[ 0.168 -0.983  0.241]
"[ 0.02290635 -0.78641556  0.02231092 -0.11719494 -0.51453574  0.58894118
  0.50308309]",0,[ 0.023 -0.786  0.022]
"[-0.03050247  0.70202047  0.71002827  0.35275186  0.687044    0.27232172
  0.20359802]",0,[-0.031  0.702  0.71 ]
"[-0.25293065 -0.97558231  0.87594406  0.6335424  -0.67129162  0.3951701
  0.36841345]",0,[-0.253 -0.976  0.876]
"[ 0.47733533 -0.22655625  0.68273303 -0.04567191 -0.22746386 -0.55292894
 -0.28618056]",0,[ 0.477 -0.227  0.683]
"[-0.37220504 -0.42706562  0.76512742  0.03193899 -0.40950938  0.0039793
  0.48901619]",0,[-0.372 -0.427  0.765]
"[-0.64512462  0.24807508  0.55681834 -0.160463    0.47443656  0.40308932
  0.13278472]",0,[-0.645  0.248  0.557]
"[-0.1106209   0.32527273 -0.72041864  0.17800147 -0.90058594  0.22907671
  0.29160794]",0,[-0.111  0.325 -0.72 ]
"[ 0.55348683 -0.72132218 -0.86299325 -0.96544473  0.57113844 -0.19300892
 -0.48476561]",0,[ 0.553 -0.721 -0.863]
"[-0.92865625  0.34377215  0.04460334  0.95436502  0.87830653  0.27672582
 -0.11013642]",0,[-0.929  0.344  0.045]
"[-0.83698941 -0.66117709  0.10762014  0.20814048  0.86594134  0.40582569
  0.97988114]",0,[-0.837 -0.661  0.108]
"[ 0.30640882  0.43492368 -0.76778763  0.15713637  0.39377687 -0.24761659
  0.11706773]",0,[ 0.306  0.435 -0.768]
"[-0.3426278  -0.03037235 -0.72282308  0.92491519 -0.75569027  0.2261732
  0.46708426]",0,[-0.343 -0.03  -0.723]
"[ 0.84827753  0.54966689 -0.00425692 -0.70653594 -0.28396957 -0.31455151
 -0.53886486]",0,[ 0.848  0.55  -0.004]
"[-0.81140302  0.83258875  0.65005938  0.86938636  0.75644209 -0.06137265
  0.02736687]",0,[-0.811  0.833  0.65 ]
"[-0.62653736  0.9391232   0.07975286  0.8393237  -0.26309403  0.2485651
 -0.89775877]",0,[-0.627  0.939  0.08 ]
"[-0.87302947  0.0813734  -0.19754808 -0.06311095 -0.54504853  0.98203323
 -0.25133171]",0,[-0.873  0.081 -0.198]
"[ 0.31778865 -0.76904056  0.91518098 -0.78284566  0.86095892 -0.41379854
 -0.88857994]",0,[ 0.318 -0.769  0.915]
"[ 0.26123552 -0.37916251 -0.83949113 -0.99711949  0.60010266  0.25267402
  0.61178746]",0,[ 0.261 -0.379 -0.839]
"[ 0.15037821 -0.31244412 -0.85955603 -0.67984242  0.54979088  0.80720867
 -0.25148486]",0,[ 0.15  -0.312 -0.86 ]
"[ 0.85012523 -0.90849111 -0.842319   -0.97571519 -0.74104394 -0.39192377
 -0.7243494 ]",0,[ 0.85  -0.908 -0.842]
"[-0.1452034  -0.51402316  0.85993156 -0.7322487   0.59012287  0.51935977
 -0.61076851]",0,[-0.145 -0.514  0.86 ]
"[ 0.70831216  0.37565785  0.86265419  0.47632417 -0.26545288  0.44697317
  0.08048783]",0,[0.708 0.376 0.863]
"[ 0.89751507  0.59043062 -0.11687321 -0.41863683 -0.77812496  0.09978212
  0.83857334]",0,[ 0.898  0.59  -0.117]
"[ 0.15068264  0.14034657 -0.22564297  0.26150102 -0.68702953  0.96281833
  0.21747233]",0,[ 0.151  0.14  -0.226]
"[ 0.72273335 -0.86252873  0.46831508 -0.17593897  0.64508077 -0.82098575
  0.19999594]",0,[ 0.723 -0.863  0.468]
"[-0.71495955  0.53174416 -0.62188978 -0.73414804  0.27374572 -0.32016844
 -0.99795359]",0,[-0.715  0.532 -0.622]
"[-0.70701245  0.66710533  0.37663087  0.21768014 -0.34321727 -0.80593146
 -0.52571018]",0,[-0.707  0.667  0.377]
"[ 0.91942718 -0.56519459 -0.92721495  0.94219302 -0.78312732  0.33466197
  0.8775515 ]",0,[ 0.919 -0.565 -0.927]
"[ 0.01906463  0.12994795 -0.54826678 -0.4473155   0.55518157 -0.85889258
  0.75195319]",0,[ 0.019  0.13  -0.548]
"[ 0.84470439  0.15900702  0.8143645  -0.58037299 -0.09648454  0.60418658
  0.9248377 ]",0,[0.845 0.159 0.814]
"[ 0.66079773  0.99479351  0.49253648 -0.1820033  -0.47908289  0.87386638
 -0.2037325 ]",0,[0.661 0.995 0.493]
"[ 0.22774128 -0.64317602  0.94307061 -0.29879152 -0.27714138  0.93182695
 -0.81460833]",0,[ 0.228 -0.643  0.943]
"[-0.73228164 -0.16007752 -0.49416964 -0.43253851 -0.50087218 -0.10382197
  0.50273006]",0,[-0.732 -0.16  -0.494]
"[ 0.18007075 -0.98916345  0.80621842 -0.44973074  0.58501525 -0.78620902
  0.19544423]",0,[ 0.18  -0.989  0.806]
