genome,fitness,behavior_descriptor
"[-0.37584113 -0.66115093  0.40223555 -0.18598883 -0.09743865  0.82271791
  0.53089515]",1,[-0.376 -0.661  0.402]
"[ 0.2771129   0.96240163  0.52991759 -0.62005624  0.06486141  0.46246431
 -0.18381093]",0,[0.277 0.962 0.53 ]
"[-0.05796416 -0.2904086  -0.03934026  0.69817264 -0.32714982  0.10410684
 -0.46720282]",0,[-0.058 -0.29  -0.039]
"[-0.58969323  0.69092219 -0.39394246  0.89678682  0.62810187  0.55038901
  0.06915652]",0,[-0.59   0.691 -0.394]
"[-0.09094294 -0.00492747 -0.87017205  0.03768302 -0.38675321 -0.45073389
  0.41182558]",0,[-0.091 -0.005 -0.87 ]
"[-0.90087176  0.17670576 -0.62301292 -0.67109963 -0.56602464 -0.74590515
  0.77476386]",0,[-0.901  0.177 -0.623]
"[-0.09455223 -0.89358835  0.98853333  0.35724374 -0.33896271 -0.95632634
 -0.97753971]",0,[-0.095 -0.894  0.989]
"[0.62892904 0.82250966 0.11986445 0.5381936  0.56160178 0.52367819
 0.22299436]",0,[0.629 0.823 0.12 ]
"[-0.2563638  -0.69866678  0.54362362 -0.71282966 -0.16402397  0.2056421
 -0.30523986]",0,[-0.256 -0.699  0.544]
"[ 0.77337467 -0.92460441 -0.7728601   0.80990469 -0.06411361  0.84532561
 -0.41090688]",0,[ 0.773 -0.925 -0.773]
"[-0.83422478  0.18196809 -0.69544609 -0.31675069 -0.94320102 -0.6342368
 -0.99725632]",0,[-0.834  0.182 -0.695]
"[-0.60796889 -0.44454675  0.54014621  0.92664479  0.09183667  0.61168778
 -0.2091707 ]",0,[-0.608 -0.445  0.54 ]
"[ 0.9558602  -0.36895161  0.61572736  0.12202639  0.92752263  0.74141634
  0.0507065 ]",0,[ 0.956 -0.369  0.616]
"[-0.18724595  0.7887697  -0.67166252 -0.48181553 -0.01082577  0.3720419
 -0.93691094]",0,[-0.187  0.789 -0.672]
