genome,fitness,behavior_descriptor
"[-0.37607262 -0.66114321  0.40221751 -0.19091942 -0.08516562  0.82188618
  0.52824773]",1,[-0.376 -0.661  0.402]
"[-0.33434004  0.65630821  0.96761396 -0.48194501  0.97302828 -0.95428663
  0.31312919]",0,[-0.334  0.656  0.968]
"[-0.7014078   0.20618393 -0.70589556  0.27443954  0.78462868 -0.79037029
 -0.45263309]",0,[-0.701  0.206 -0.706]
"[ 0.62293615  0.75851512  0.91776582 -0.55254029 -0.97748014 -0.72877797
 -0.68064747]",0,[0.623 0.759 0.918]
"[ 0.47263682  0.3381018  -0.74448121 -0.72071275 -0.45226607  0.02516898
  0.18262785]",0,[ 0.473  0.338 -0.744]
"[ 0.20801745  0.55874086 -0.90869544 -0.62279184 -0.10705989 -0.83358124
  0.34080921]",0,[ 0.208  0.559 -0.909]
"[ 0.76977196  0.85201884 -0.53442871  0.20556107  0.54494809  0.86487927
 -0.11248263]",0,[ 0.77   0.852 -0.534]
"[-0.82079228  0.31568684  0.47409205 -0.90766577 -0.74674725  0.04833684
 -0.85747522]",0,[-0.821  0.316  0.474]
"[ 0.46348677  0.06012616  0.95018719 -0.74712186 -0.38006922 -0.73817856
 -0.35277533]",0,[0.463 0.06  0.95 ]
"[ 0.67880202 -0.55719426 -0.36280199  0.46427066  0.89937225 -0.14777706
  0.93339285]",0,[ 0.679 -0.557 -0.363]
"[ 0.4363671  -0.51846646 -0.8450241  -0.91334207 -0.39603463  0.58175266
  0.15539487]",0,[ 0.436 -0.518 -0.845]
"[ 0.82971225  0.94208522 -0.13058891 -0.85555748  0.00681158 -0.82326674
 -0.72596179]",0,[ 0.83   0.942 -0.131]
"[-0.33012892 -0.70737855 -0.09987915 -0.23599073  0.38437944 -0.41987379
  0.86221263]",0,[-0.33  -0.707 -0.1  ]
"[0.08486574 0.89774633 0.52644484 0.79001013 0.87204095 0.99152926
 0.59997816]",0,[0.085 0.898 0.526]
"[ 0.31616723 -0.26215718  0.72432869 -0.86111818 -0.31349513  0.17270636
 -0.1656118 ]",0,[ 0.316 -0.262  0.724]
"[-0.32971879  0.29415464  0.46756396 -0.87337015  0.07640628  0.35117385
 -0.23596595]",0,[-0.33   0.294  0.468]
"[-0.35712625 -0.7082079  -0.47404373  0.55328232 -0.12557238  0.75902793
 -0.54497845]",0,[-0.357 -0.708 -0.474]
"[ 0.78018016  0.83280827 -0.58080868  0.16470382 -0.39563109  0.4733568
  0.02897324]",0,[ 0.78   0.833 -0.581]
"[-0.10914433 -0.07653468  0.83941061 -0.17963415 -0.52829368  0.76421063
  0.01707459]",0,[-0.109 -0.077  0.839]
"[ 0.8015234   0.33957499  0.08622314 -0.4953071  -0.01514319 -0.67020539
  0.99430284]",0,[0.802 0.34  0.086]
"[ 0.26887504  0.34109477 -0.34085108 -0.45859242  0.45504751 -0.99278793
  0.23727986]",0,[ 0.269  0.341 -0.341]
"[ 0.23025151 -0.46695021 -0.89141832 -0.82432448  0.32378468  0.83545252
  0.42777021]",0,[ 0.23  -0.467 -0.891]
"[ 0.06772521 -0.74131779  0.07615021 -0.83123478 -0.57232578  0.12024825
 -0.93363266]",0,[ 0.068 -0.741  0.076]
"[ 0.95159147  0.35641934 -0.77760038 -0.1254375   0.30011785 -0.52808213
 -0.40722783]",0,[ 0.952  0.356 -0.778]
"[ 0.77895117  0.41727304  0.65276314  0.84796966 -0.78473431 -0.68551017
  0.72148273]",0,[0.779 0.417 0.653]
