genome,fitness,behavior_descriptor
"[-0.37562115 -0.66137955  0.40245229 -0.19480671 -0.08457799  0.8188364
  0.52508575]",1,[-0.376 -0.661  0.402]
"[-0.63103832  0.78514076  0.54358361  0.28472059 -0.11482547 -0.83007855
 -0.06219477]",0,[-0.631  0.785  0.544]
"[ 0.25507113  0.70783741 -0.34655249  0.72733747  0.81217775 -0.36663212
 -0.15864597]",0,[ 0.255  0.708 -0.347]
"[ 0.4369823   0.49518006  0.50506889 -0.86152748  0.91558368 -0.22731465
 -0.77274453]",0,[0.437 0.495 0.505]
"[-0.83056473  0.97448026 -0.28982316  0.9370102  -0.53449309 -0.72021166
  0.83108116]",0,[-0.831  0.974 -0.29 ]
"[-0.6866507  -0.68037093 -0.17558744  0.50102725 -0.70518273  0.21561639
 -0.467443  ]",0,[-0.687 -0.68  -0.176]
"[ 0.59412538  0.63267043 -0.953981    0.1323723  -0.37367493 -0.03480486
 -0.87027564]",0,[ 0.594  0.633 -0.954]
"[-0.90681016 -0.75958735 -0.87404701  0.18321011  0.45736593  0.96090031
 -0.35466413]",0,[-0.907 -0.76  -0.874]
"[-0.07568526 -0.88879516  0.00120154 -0.9463721   0.76308808  0.783731
  0.52744875]",0,[-0.076 -0.889  0.001]
"[ 0.12813068 -0.77966683  0.45101235 -0.29079199 -0.02610461 -0.25835156
  0.06504851]",0,[ 0.128 -0.78   0.451]
"[ 0.41979856 -0.65691458 -0.7929558   0.08943089  0.78532123 -0.6558667
  0.22941449]",0,[ 0.42  -0.657 -0.793]
"[-0.74036341  0.54980695  0.51301956  0.09024791  0.94278065 -0.10218381
 -0.10973532]",0,[-0.74   0.55   0.513]
"[-0.69104594 -0.09500766  0.95069799 -0.2206775  -0.16870864 -0.41326203
  0.46010512]",0,[-0.691 -0.095  0.951]
"[-0.44801815  0.45047117  0.57005376  0.69946814 -0.36659429 -0.70931872
  0.08544179]",0,[-0.448  0.45   0.57 ]
"[ 0.80777999  0.10412322 -0.19247676  0.63668574 -0.86783965 -0.37567973
  0.04424663]",0,[ 0.808  0.104 -0.192]
"[ 0.60565451 -0.88830798 -0.09360821 -0.58244549  0.8281187   0.14281977
  0.12670319]",0,[ 0.606 -0.888 -0.094]
"[ 0.18127495  0.56104931 -0.02721978 -0.82909799 -0.93047648 -0.53763193
 -0.05466568]",0,[ 0.181  0.561 -0.027]
"[-0.10807822  0.13704822  0.10286789  0.98209428  0.66317421 -0.92628587
 -0.49543484]",0,[-0.108  0.137  0.103]
"[ 0.28228325  0.65315941  0.27639469  0.55278122 -0.7292811  -0.68823658
  0.55400923]",0,[0.282 0.653 0.276]
"[-0.12329988  0.67657375 -0.80752403 -0.28206369 -0.13714266 -0.4847008
  0.35413444]",0,[-0.123  0.677 -0.808]
"[-0.21973646  0.07775703  0.72416158  0.04407492 -0.57690291 -0.81186859
  0.39221283]",0,[-0.22   0.078  0.724]
"[-0.7256566   0.30393707  0.67576231 -0.79615375 -0.73576849  0.17556768
 -0.6684904 ]",0,[-0.726  0.304  0.676]
"[-0.29514624 -0.12772432  0.44523217  0.54145574 -0.59200165 -0.07066751
  0.79641915]",0,[-0.295 -0.128  0.445]
"[ 0.10194231 -0.35188215  0.19743447  0.86088786  0.26174533 -0.92664937
 -0.36058617]",0,[ 0.102 -0.352  0.197]
"[-0.85957416  0.01796738  0.85028035 -0.74431612  0.71879493 -0.32711748
 -0.49080901]",0,[-0.86   0.018  0.85 ]
"[-0.42518061  0.45324673 -0.70883598  0.5477885   0.89682978 -0.86540074
 -0.59973668]",0,[-0.425  0.453 -0.709]
"[ 0.39986197  0.60301408  0.08527871  0.76715347 -0.13466397 -0.66680825
 -0.91968627]",0,[0.4   0.603 0.085]
"[-0.0462131  -0.59413978 -0.7541032   0.87800721  0.74264625 -0.22462626
  0.85976127]",0,[-0.046 -0.594 -0.754]
"[-0.47881903 -0.02776954 -0.05866271 -0.66887035 -0.33790779 -0.15836003
 -0.13831705]",0,[-0.479 -0.028 -0.059]
"[ 0.31208368 -0.08449545 -0.74303246 -0.40362591  0.74514958 -0.3788446
 -0.69726972]",0,[ 0.312 -0.084 -0.743]
"[ 0.03169246  0.81553818 -0.65689409 -0.89372115 -0.85910681 -0.63925698
  0.16989202]",0,[ 0.032  0.816 -0.657]
"[ 0.02799038 -0.64425462 -0.33956318 -0.24069259  0.61132008  0.60096155
  0.29159158]",0,[ 0.028 -0.644 -0.34 ]
"[ 0.36608195 -0.9551957  -0.89921702  0.68022997 -0.00289449  0.19638125
 -0.55322818]",0,[ 0.366 -0.955 -0.899]
"[ 0.13435009  0.94032515 -0.7344676  -0.96804021 -0.54289869  0.87066122
 -0.94431227]",0,[ 0.134  0.94  -0.734]
"[-0.0606027   0.21860176 -0.36256583  0.89809601 -0.74125268  0.37849632
  0.46603511]",0,[-0.061  0.219 -0.363]
"[-0.77588239 -0.91071334 -0.37568927 -0.49881526  0.61591149 -0.49513996
 -0.11149494]",0,[-0.776 -0.911 -0.376]
"[ 0.00790485  0.87375107  0.64032328 -0.62434575 -0.35297775  0.26752691
  0.61293423]",0,[0.008 0.874 0.64 ]
"[ 0.22228815  0.33477716  0.558084   -0.63425554  0.15259026 -0.59185304
  0.23563386]",0,[0.222 0.335 0.558]
"[-0.44250701 -0.93611975  0.6078072   0.2946256  -0.98116565  0.20212541
 -0.89513042]",0,[-0.443 -0.936  0.608]
"[-0.73720745  0.75824295 -0.28792597 -0.18586932  0.80061126 -0.79090082
 -0.01706898]",0,[-0.737  0.758 -0.288]
"[-0.57324525 -0.22089275 -0.71572588  0.78263564 -0.67336574 -0.11688153
 -0.17643499]",0,[-0.573 -0.221 -0.716]
"[-0.58743989  0.17432273  0.64372634  0.46378675  0.67265858 -0.84537754
  0.29994452]",0,[-0.587  0.174  0.644]
"[-0.18830851 -0.63846395  0.63345207  0.57691877 -0.8486698   0.96080222
  0.11179906]",0,[-0.188 -0.638  0.633]
"[ 0.25004698  0.60314334 -0.50462029 -0.70035327  0.74601472 -0.98929896
 -0.2447465 ]",0,[ 0.25   0.603 -0.505]
"[ 0.50640297 -0.37773424 -0.98038001 -0.47685554  0.95520015  0.85662275
 -0.92102309]",0,[ 0.506 -0.378 -0.98 ]
"[-0.56397989 -0.49556787  0.63544586  0.74460254  0.79561844  0.7605797
  0.00312245]",0,[-0.564 -0.496  0.635]
"[ 0.84952315  0.75380546 -0.43519709  0.68154286 -0.43858536  0.01756172
 -0.4101984 ]",0,[ 0.85   0.754 -0.435]
"[-0.29127653 -0.05538314 -0.3627157   0.3134595  -0.64474019  0.71401136
  0.27943542]",0,[-0.291 -0.055 -0.363]
"[ 0.99421512 -0.49990417  0.93649968  0.7848144   0.33464709  0.00483839
  0.44212575]",0,[ 0.994 -0.5    0.936]
"[-0.58265048 -0.8648017   0.03300575 -0.67948194  0.86339119 -0.84044353
 -0.15952294]",0,[-0.583 -0.865  0.033]
"[ 0.07654316 -0.82448934  0.12923877 -0.84236858  0.52498203  0.98130162
  0.45128404]",0,[ 0.077 -0.824  0.129]
"[-0.43263312  0.20108431 -0.35617714 -0.26886997 -0.38661594  0.67813464
 -0.4763636 ]",0,[-0.433  0.201 -0.356]
"[ 0.47214908 -0.89254352  0.38823117 -0.25480566 -0.00194052 -0.86237398
  0.85109421]",0,[ 0.472 -0.893  0.388]
"[ 0.4041161   0.80835813 -0.75051558 -0.48810867 -0.48194928  0.69044917
  0.17169067]",0,[ 0.404  0.808 -0.751]
"[-0.34639891 -0.97343173 -0.47572066 -0.44503566  0.04713922 -0.62807714
 -0.88835259]",0,[-0.346 -0.973 -0.476]
"[-0.37275796  0.13342642 -0.92794916 -0.6625815   0.42490321 -0.36815702
 -0.24843278]",0,[-0.373  0.133 -0.928]
"[-0.89528043 -0.1128803   0.61919917  0.36222977 -0.23850277  0.43466585
  0.43982032]",0,[-0.895 -0.113  0.619]
"[ 0.39650925  0.00373521 -0.20590574  0.02938776  0.37640878 -0.03518874
  0.83028019]",0,[ 0.397  0.004 -0.206]
"[ 0.92457903  0.42477903  0.55189466 -0.26923978 -0.41752027 -0.89161529
 -0.39498632]",0,[0.925 0.425 0.552]
"[ 0.66344459  0.83240764  0.79594668  0.16569839  0.77289508 -0.26531147
 -0.76595352]",0,[0.663 0.832 0.796]
"[ 0.3020813  -0.49849588  0.65611836 -0.84916741 -0.45103149 -0.62582562
 -0.585522  ]",0,[ 0.302 -0.498  0.656]
"[ 0.56029457 -0.49371477  0.67252713  0.49921163 -0.8653295  -0.54884939
 -0.69409299]",0,[ 0.56  -0.494  0.673]
"[-0.37878223  0.26318172 -0.97575943  0.16103315  0.07322966  0.81486638
 -0.82821719]",0,[-0.379  0.263 -0.976]
"[-0.05391988 -0.87864924  0.10292957 -0.20786655  0.21349258  0.15539669
  0.76618153]",0,[-0.054 -0.879  0.103]
"[ 0.44024168  0.94026109 -0.87023682  0.65373447  0.16523344  0.28931537
  0.28096246]",0,[ 0.44  0.94 -0.87]
"[ 0.34781184  0.55170357 -0.26897763  0.67180758 -0.53038892 -0.14755814
 -0.07923473]",0,[ 0.348  0.552 -0.269]
"[-0.1277949  -0.89212711 -0.46196259  0.29289153 -0.62143527  0.55156735
  0.63120663]",0,[-0.128 -0.892 -0.462]
"[ 0.09242482  0.92979303 -0.57735369 -0.85951365  0.54115501  0.0102063
 -0.85077738]",0,[ 0.092  0.93  -0.577]
"[ 0.52444846  0.18698186  0.99375604  0.50480633  0.9121792  -0.81587585
 -0.3091766 ]",0,[0.524 0.187 0.994]
"[-0.78807405 -0.14108167  0.86325615 -0.97819652 -0.75688679 -0.25674657
 -0.8157858 ]",0,[-0.788 -0.141  0.863]
"[-0.32041606  0.54912272 -0.37455338  0.1390498   0.748666   -0.99433166
 -0.05929557]",0,[-0.32   0.549 -0.375]
"[-0.99570174  0.63756246  0.90900078 -0.41299816 -0.29178805  0.13465689
  0.04455486]",0,[-0.996  0.638  0.909]
"[ 0.94732642  0.66583462 -0.82202279 -0.25411411 -0.88668772 -0.13153137
  0.72482478]",0,[ 0.947  0.666 -0.822]
"[ 0.73990311 -0.31655422  0.39499779  0.52827654  0.42073779  0.78364653
  0.3188259 ]",0,[ 0.74  -0.317  0.395]
"[-0.1762541   0.69757918 -0.67470907 -0.02987361  0.43824124 -0.33851481
  0.21485627]",0,[-0.176  0.698 -0.675]
"[-0.40507943  0.61373833  0.76240157  0.7360715  -0.39573889 -0.4357322
  0.65347547]",0,[-0.405  0.614  0.762]
"[ 0.79721544  0.91324734  0.03254134 -0.75765704  0.0904384  -0.96864775
  0.90931811]",0,[0.797 0.913 0.033]
"[-0.74645236  0.41623229  0.82992382  0.07262915  0.05426558 -0.77960356
  0.10785048]",0,[-0.746  0.416  0.83 ]
"[ 0.30448038 -0.77808642 -0.57904889  0.85145744  0.41519719 -0.74873791
  0.97149249]",0,[ 0.304 -0.778 -0.579]
"[-0.89697243 -0.55519167  0.75296023 -0.32402487  0.01591731  0.13776517
  0.17290842]",0,[-0.897 -0.555  0.753]
"[-0.75847575 -0.82198242  0.00806012  0.24785488 -0.38756603  0.8104744
  0.15220279]",0,[-0.758 -0.822  0.008]
