genome,fitness,behavior_descriptor
"[-0.87123899 -0.28031909 -0.90860989 -0.81360017  0.57387161  0.66085746
  0.06212841]",0,[-0.871 -0.28  -0.909]
"[ 0.11512127 -0.83618777 -0.19243622  0.61173592  0.67282168  0.80218044
  0.78530777]",0,[ 0.115 -0.836 -0.192]
"[ 0.61336765 -0.39783664 -0.84159381 -0.36215271 -0.94137382 -0.21516229
 -0.1737008 ]",0,[ 0.613 -0.398 -0.842]
"[-6.78546317e-01  1.93573901e-04 -7.53523722e-01 -8.63769284e-01
 -9.73787079e-01  5.50128654e-02  4.05985930e-02]",0,[-0.679  0.    -0.754]
"[-0.40096304  0.23196069  0.74028943 -0.00074815  0.03923358 -0.42683998
  0.49009782]",0,[-0.401  0.232  0.74 ]
"[-0.33661977 -0.10042031  0.3678872  -0.41404406 -0.53261256 -0.75242019
  0.94933147]",0,[-0.337 -0.1    0.368]
"[-0.79487066  0.92934891 -0.02015108  0.14771344 -0.42396697 -0.14902414
 -0.20626981]",0,[-0.795  0.929 -0.02 ]
"[ 0.54874144  0.40306418 -0.78691231  0.04837961  0.59877342 -0.64691075
  0.31720313]",0,[ 0.549  0.403 -0.787]
"[-0.44029189 -0.9267187  -0.45878273  0.36041439  0.71179948  0.01581126
 -0.81560106]",0,[-0.44  -0.927 -0.459]
"[ 0.2851357   0.26216243 -0.86699856 -0.34232354  0.04849434 -0.9047063
  0.29844282]",0,[ 0.285  0.262 -0.867]
"[-0.93686131 -0.56260353 -0.44471773  0.05359091 -0.15507985 -0.70401101
  0.86768421]",0,[-0.937 -0.563 -0.445]
"[ 0.37443512 -0.79259554  0.54735466  0.12607104 -0.03891231  0.36090927
 -0.73761596]",0,[ 0.374 -0.793  0.547]
"[-0.21896163  0.21521085  0.47506516  0.67712941 -0.10588436 -0.18485052
 -0.74771349]",0,[-0.219  0.215  0.475]
"[-0.88443064  0.29411495 -0.91607222  0.07938389  0.70749449  0.48840842
 -0.19366831]",0,[-0.884  0.294 -0.916]
"[-0.96359363 -0.49728149  0.41549449  0.50093431 -0.31800333 -0.08328054
  0.95307405]",0,[-0.964 -0.497  0.415]
"[-0.3391574   0.9664665  -0.34009385 -0.92640927 -0.18750995  0.70405082
  0.73556363]",0,[-0.339  0.966 -0.34 ]
"[-0.71663973  0.68982209 -0.81735488  0.22678762 -0.30978151 -0.98086825
  0.22500884]",0,[-0.717  0.69  -0.817]
"[ 0.38590698 -0.91054356  0.58793353 -0.89500996  0.51659966 -0.45854063
  0.83559639]",0,[ 0.386 -0.911  0.588]
"[-0.58093059  0.72493648 -0.25144805 -0.42514067  0.2795609  -0.39102931
 -0.22000516]",0,[-0.581  0.725 -0.251]
"[ 0.43339162 -0.70320892 -0.96316727  0.40215821  0.66406039 -0.99545913
 -0.66167692]",0,[ 0.433 -0.703 -0.963]
"[ 0.44836131  0.43652191 -0.54209921 -0.99311202  0.90129119  0.67519233
  0.78032371]",0,[ 0.448  0.437 -0.542]
"[ 0.82567955  0.63514428  0.60338232 -0.68638772 -0.3954853  -0.33502496
  0.53395536]",0,[0.826 0.635 0.603]
"[-0.76779447 -0.739029    0.89066021  0.87636709  0.2639229  -0.53281714
  0.25406169]",0,[-0.768 -0.739  0.891]
"[-0.56166556  0.44690035 -0.56573364  0.30500316 -0.62325536  0.55787331
 -0.42125348]",0,[-0.562  0.447 -0.566]
"[ 0.75537671  0.83668218  0.63278208 -0.58864689  0.0659745   0.73139668
  0.01357496]",0,[0.755 0.837 0.633]
"[ 0.53480907  0.34453595  0.042677   -0.99636764  0.37672027  0.27295239
 -0.14774631]",0,[0.535 0.345 0.043]
"[ 0.53413518  0.18921211  0.77172336 -0.10387668  0.71479205  0.7235301
 -0.54697901]",0,[0.534 0.189 0.772]
"[-0.21544328 -0.39278196  0.34776402 -0.78849369 -0.36286009 -0.00602291
  0.27129561]",0,[-0.215 -0.393  0.348]
"[ 0.47320672  0.32348404 -0.61257321 -0.75403497 -0.46865395 -0.97118331
  0.99876368]",0,[ 0.473  0.323 -0.613]
"[-0.83492064 -0.495668   -0.48191523  0.61332272  0.98513591  0.22898786
  0.58743089]",0,[-0.835 -0.496 -0.482]
"[-0.69344174 -0.32978057 -0.87284258  0.36798857 -0.5572335   0.54860594
  0.85382545]",0,[-0.693 -0.33  -0.873]
"[-0.65352643  0.660459    0.00598289 -0.74826238  0.1518236  -0.96004408
  0.03968921]",0,[-0.654  0.66   0.006]
"[ 0.89806833  0.42394897  0.33198813  0.12148292  0.14063183 -0.30722629
 -0.16627801]",0,[0.898 0.424 0.332]
"[-0.05694419  0.79654761  0.17324281 -0.07943358  0.00345056  0.57085014
 -0.81235651]",0,[-0.057  0.797  0.173]
"[ 0.44629762  0.89217594  0.98410018  0.43692473 -0.77376256  0.91514272
 -0.95479329]",0,[0.446 0.892 0.984]
"[ 0.22645195  0.99112583 -0.22371107 -0.16641148 -0.69017441  0.63437049
  0.46550065]",0,[ 0.226  0.991 -0.224]
"[ 0.50055953 -0.01432143 -0.82332535 -0.86765359  0.95072594  0.32695886
  0.70206145]",0,[ 0.501 -0.014 -0.823]
"[ 0.43304643  0.02072538 -0.04576096 -0.63140796 -0.49799194  0.37052754
 -0.24206241]",0,[ 0.433  0.021 -0.046]
"[-0.0765134   0.27998273  0.94379013 -0.78590419 -0.67129624  0.95836098
  0.75077649]",0,[-0.077  0.28   0.944]
"[ 0.44701906  0.34866564 -0.35084673  0.22378114  0.85910619 -0.76371066
  0.8139834 ]",0,[ 0.447  0.349 -0.351]
"[ 0.65124457  0.24813577 -0.91250246 -0.12701611  0.70944683 -0.34462035
  0.34302206]",0,[ 0.651  0.248 -0.913]
"[-0.77839645 -0.51453205 -0.61400368  0.02357481  0.95589886 -0.13759605
 -0.58797959]",0,[-0.778 -0.515 -0.614]
"[ 0.38147146  0.60190695 -0.38649129 -0.4510766  -0.28850313 -0.75966265
  0.89667546]",0,[ 0.381  0.602 -0.386]
"[ 0.47333573 -0.32555722  0.62584196  0.52288715  0.2735948  -0.8734913
 -0.58202235]",0,[ 0.473 -0.326  0.626]
"[ 0.49597899 -0.54573901 -0.53451933  0.97117354 -0.57699577  0.53108944
 -0.53860059]",0,[ 0.496 -0.546 -0.535]
"[ 0.07259195  0.14637519  0.14932269  0.23716614  0.00968215  0.93073538
 -0.25005625]",0,[0.073 0.146 0.149]
"[ 0.05917463 -0.2131829  -0.2735185  -0.64130999 -0.3311746   0.01584536
 -0.17542293]",0,[ 0.059 -0.213 -0.274]
"[-0.09275382  0.32817361  0.07991193 -0.08116853 -0.38264634 -0.84328267
 -0.72032459]",0,[-0.093  0.328  0.08 ]
