genome,fitness,behavior_descriptor
[-0.376 -0.661  0.402 -0.189 -0.089  0.824  0.526],0,[-0.376 -0.661  0.402]
"[-0.00121507  0.92483714 -0.50993052  0.74751917 -0.10501709  0.76642349
 -0.75228386]",0,[-0.001  0.925 -0.51 ]
"[-0.80739168  0.61011536  0.92674218 -0.10893679 -0.32805995  0.678473
 -0.90025562]",0,[-0.807  0.61   0.927]
"[-0.54726259  0.87652617 -0.8057062   0.57202114 -0.67614243  0.17973472
 -0.06471334]",0,[-0.547  0.877 -0.806]
"[ 0.27850144 -0.35356623 -0.8754366  -0.22181232  0.39394632  0.58378344
 -0.58250882]",0,[ 0.279 -0.354 -0.875]
"[-0.90469588  0.38508826  0.65594724  0.00488804  0.92202563 -0.40110978
  0.70519583]",0,[-0.905  0.385  0.656]
"[ 0.57200967 -0.27462143  0.16906017  0.83619805  0.92723277 -0.1792126
 -0.07433853]",0,[ 0.572 -0.275  0.169]
"[ 0.22347193  0.37026724  0.29859431  0.65657939  0.57898254  0.6366081
 -0.40165751]",0,[0.223 0.37  0.299]
"[-0.91682807 -0.53998496 -0.23706148  0.41118841  0.49558099 -0.7797507
 -0.67049144]",0,[-0.917 -0.54  -0.237]
"[-0.72907784 -0.36620759 -0.44243068 -0.94971166 -0.90401106  0.68379521
  0.71193525]",0,[-0.729 -0.366 -0.442]
"[-0.90185509  0.59321456 -0.25017925  0.92725099  0.33540381 -0.49613725
  0.56198802]",0,[-0.902  0.593 -0.25 ]
"[ 0.4416165   0.56270717 -0.3306631  -0.09085371 -0.03863889  0.72267258
  0.95763944]",0,[ 0.442  0.563 -0.331]
"[-0.73152276  0.85752436 -0.32905379  0.5874255  -0.5681209   0.3573514
  0.05478305]",0,[-0.732  0.858 -0.329]
"[-0.68973338  0.96256481  0.7926377   0.84182185 -0.62639323  0.19264577
  0.44272806]",0,[-0.69   0.963  0.793]
"[ 0.99531799  0.16689199 -0.86232157 -0.16133619 -0.70502425  0.02154321
  0.95992341]",0,[ 0.995  0.167 -0.862]
"[-0.68582176  0.85066509 -0.16403921  0.45287148 -0.78793424 -0.22885977
 -0.10546002]",0,[-0.686  0.851 -0.164]
"[-0.88289274  0.07269057 -0.81396192  0.93270856 -0.9128301   0.70471745
  0.05878933]",0,[-0.883  0.073 -0.814]
"[-0.55295325 -0.67899279 -0.69013785 -0.71813886 -0.31740675  0.95729551
 -0.70254413]",0,[-0.553 -0.679 -0.69 ]
"[ 0.62364991 -0.49236712 -0.47699593  0.82407488 -0.7386682   0.56911356
  0.61402183]",0,[ 0.624 -0.492 -0.477]
"[ 0.61098841 -0.63125555 -0.60433363  0.53596979 -0.76405262  0.92575528
 -0.45679805]",0,[ 0.611 -0.631 -0.604]
