genome,fitness,behavior_descriptor
"[ 0.34565932 -0.95514164  0.73574308 -0.35633174  0.29528151 -0.21571769
 -0.28770192]",0,[ 0.346 -0.955  0.736]
"[ 0.77111372 -0.2095321   0.29404771 -0.17626061  0.67001492 -0.66804176
 -0.1053756 ]",0,[ 0.771 -0.21   0.294]
"[-0.34760254 -0.7699977   0.2275464   0.17068861 -0.26100727 -0.36178846
 -0.39499825]",0,[-0.348 -0.77   0.228]
"[-0.57965382  0.98141465 -0.12273563  0.34972335  0.92335298 -0.54644058
  0.94459104]",0,[-0.58   0.981 -0.123]
"[-0.83425273  0.10147067  0.28403972 -0.04652359  0.91273145 -0.18640083
 -0.75732376]",0,[-0.834  0.101  0.284]
"[-0.7697273  -0.85005795  0.85479611  0.72250032  0.87183686  0.40550869
 -0.82694258]",0,[-0.77  -0.85   0.855]
"[ 0.83390779  0.16616564  0.051506    0.8447518  -0.36820844 -0.3748864
  0.52623157]",0,[0.834 0.166 0.052]
"[ 0.2773492  -0.64812532  0.30191746  0.96160437  0.84814937 -0.13655862
 -0.92507559]",0,[ 0.277 -0.648  0.302]
"[-0.31692079 -0.40085429 -0.09306952  0.60349676  0.50073313 -0.23588704
  0.80141753]",0,[-0.317 -0.401 -0.093]
"[-0.18489884 -0.35122363 -0.42364169 -0.01973757 -0.23615211  0.79962609
  0.03432601]",0,[-0.185 -0.351 -0.424]
"[ 0.26518108  0.53778829  0.6709772   0.87473614  0.3379227  -0.57884068
 -0.09305197]",0,[0.265 0.538 0.671]
"[-0.68242592 -0.33730817  0.53226935 -0.71572095 -0.07473124  0.33350027
 -0.79321109]",0,[-0.682 -0.337  0.532]
"[-0.77385743 -0.22216725 -0.11394127 -0.82385663  0.62946057 -0.80507631
 -0.16112008]",0,[-0.774 -0.222 -0.114]
"[-0.1402498   0.97367309 -0.8887713   0.14808712  0.8446589   0.09594941
 -0.61928458]",0,[-0.14   0.974 -0.889]
"[ 0.21136177  0.70193583 -0.93737536 -0.91148289 -0.84970834 -0.2588703
 -0.76439236]",0,[ 0.211  0.702 -0.937]
"[-0.41165442 -0.78773035  0.64946012  0.91301152  0.68242312 -0.39727161
 -0.59623816]",0,[-0.412 -0.788  0.649]
"[-0.14507925 -0.24222341  0.49340805 -0.06768593 -0.7901089   0.00980574
  0.11282267]",0,[-0.145 -0.242  0.493]
"[-0.60379618 -0.39794807 -0.30230907 -0.01900125  0.08171435  0.79227315
 -0.21389014]",0,[-0.604 -0.398 -0.302]
"[-0.5871307  -0.33331808 -0.20030576 -0.90399393 -0.46320784  0.8226577
  0.33513716]",0,[-0.587 -0.333 -0.2  ]
"[-0.13908117  0.40928109 -0.55907251  0.6507513   0.33429544  0.21016299
 -0.73479274]",0,[-0.139  0.409 -0.559]
"[ 0.15293354 -0.76116253  0.62749724  0.28473994 -0.01380696  0.84701928
 -0.23558643]",0,[ 0.153 -0.761  0.627]
"[-0.3885388   0.16783373 -0.20880267 -0.8401538   0.51247796  0.34067478
  0.92995631]",0,[-0.389  0.168 -0.209]
"[ 0.00162547 -0.50679174  0.48749326  0.35856741  0.46751168 -0.81435175
 -0.2463663 ]",0,[ 0.002 -0.507  0.487]
"[-0.11667273 -0.51286963  0.63117444 -0.63539937  0.3637495  -0.9442586
  0.19594462]",0,[-0.117 -0.513  0.631]
"[-0.85587656  0.44007086 -0.83387938  0.47427133  0.94687041 -0.27405442
  0.72658566]",0,[-0.856  0.44  -0.834]
"[ 2.45927482e-01  2.41691878e-04  3.02993324e-01  3.11639312e-02
 -6.15413666e-01 -3.89107233e-01 -1.81685340e-01]",0,[0.246 0.    0.303]
"[-0.4206418   0.8165608  -0.46506172  0.78154497  0.80171499 -0.62995823
  0.32366174]",0,[-0.421  0.817 -0.465]
"[ 0.47097821  0.44831894 -0.6568057  -0.0950363  -0.90127868  0.1331311
 -0.97515804]",0,[ 0.471  0.448 -0.657]
"[ 0.34153604  0.43539601  0.23475327  0.26785359 -0.12777096 -0.93149123
  0.81766062]",0,[0.342 0.435 0.235]
"[-0.51086672 -0.42183955  0.90734342 -0.48869705 -0.93063166 -0.91815325
 -0.20547115]",0,[-0.511 -0.422  0.907]
"[-0.68855063  0.31682786  0.94993559 -0.69296937  0.03579679 -0.70592726
 -0.59378846]",0,[-0.689  0.317  0.95 ]
"[ 0.22954474 -0.42204085  0.80986807  0.20758306  0.70501526 -0.0487676
  0.23305782]",0,[ 0.23  -0.422  0.81 ]
"[ 0.85329404  0.6816501  -0.72007144 -0.08140682  0.25541584  0.11052677
  0.87937279]",0,[ 0.853  0.682 -0.72 ]
"[-0.1577433  -0.19707867  0.59965638  0.55916632  0.02108654  0.49982448
 -0.67837655]",0,[-0.158 -0.197  0.6  ]
"[-0.63809336 -0.90680999 -0.62113773 -0.27695992 -0.40911114 -0.09203729
 -0.28170919]",0,[-0.638 -0.907 -0.621]
"[ 0.32421252 -0.15549454 -0.11332288  0.21239177  0.21102994 -0.69679574
 -0.83501011]",0,[ 0.324 -0.155 -0.113]
"[ 0.44334204 -0.37213564 -0.34431075 -0.00747009 -0.39988141  0.35330916
 -0.21707311]",0,[ 0.443 -0.372 -0.344]
"[-0.55670209 -0.48452762 -0.25133138 -0.13840928  0.47998236  0.35787595
 -0.41926373]",0,[-0.557 -0.485 -0.251]
"[-0.11587024  0.5597976   0.56961591  0.65574647 -0.32082605  0.44273526
  0.93487421]",0,[-0.116  0.56   0.57 ]
"[-0.16695121  0.22557959 -0.70444038 -0.07706652 -0.41609824 -0.91945951
 -0.13572877]",0,[-0.167  0.226 -0.704]
"[-0.04303881 -0.84800717  0.53763912  0.78123389  0.55730001  0.53271708
  0.06503389]",0,[-0.043 -0.848  0.538]
"[-0.69403246  0.44048948  0.56954539  0.78227503  0.87833796  0.71474728
 -0.44043963]",0,[-0.694  0.44   0.57 ]
