genome,fitness,behavior_descriptor
[-0.376 -0.661  0.402 -0.189 -0.089  0.824  0.526],0,[-0.376 -0.661  0.402]
"[ 0.66874342  0.81083312 -0.536991   -0.95455727 -0.23957789  0.4588995
 -0.2558168 ]",0,[ 0.669  0.811 -0.537]
"[ 0.66095666  0.7691323   0.1684603   0.85385514  0.42368725 -0.02771817
  0.85052347]",0,[0.661 0.769 0.168]
"[ 0.53245083  0.56296013  0.39806862  0.50774682  0.31028119  0.28448843
 -0.08546686]",0,[0.532 0.563 0.398]
"[ 0.48565818  0.78964967 -0.36234286 -0.55551793  0.02070205 -0.00127824
 -0.43797232]",0,[ 0.486  0.79  -0.362]
"[ 0.57077795 -0.91107114 -0.38328142  0.37599493 -0.46763439 -0.299948
 -0.3555317 ]",0,[ 0.571 -0.911 -0.383]
"[-0.75164603 -0.07942633  0.34890513 -0.38111502  0.95822907 -0.29968785
 -0.72734744]",0,[-0.752 -0.079  0.349]
"[ 0.43329197  0.75845235 -0.99702122 -0.22570212  0.36224094  0.89784029
  0.97510536]",0,[ 0.433  0.758 -0.997]
"[ 0.36559073  0.36456177  0.63407368  0.45924421  0.37396366  0.10722118
 -0.76315836]",0,[0.366 0.365 0.634]
"[ 0.20558645 -0.15700992 -0.4899645  -0.49343557 -0.18240375 -0.06358357
  0.14820744]",0,[ 0.206 -0.157 -0.49 ]
"[-0.01450641  0.43354916 -0.57274671 -0.55363183 -0.77860142 -0.46968898
 -0.72414963]",0,[-0.015  0.434 -0.573]
"[-0.11526781  0.03727439 -0.33803108  0.92014469 -0.25801944 -0.64144201
  0.72891007]",0,[-0.115  0.037 -0.338]
"[ 0.56162293  0.38706842  0.04804524  0.54370837 -0.55230208  0.56752831
  0.05971922]",0,[0.562 0.387 0.048]
"[-0.96485261 -0.1071732  -0.54168557  0.82078731 -0.54632844 -0.80236338
 -0.40326578]",0,[-0.965 -0.107 -0.542]
"[ 0.5895721   0.8774165  -0.66347607 -0.70535287  0.07730833 -0.92062429
  0.3603745 ]",0,[ 0.59   0.877 -0.663]
"[-0.86313824 -0.64288528  0.55878578  0.43202238 -0.70326063  0.17026446
 -0.50394143]",0,[-0.863 -0.643  0.559]
"[-0.38440293  0.27356736 -0.30718379 -0.47297051  0.78452305 -0.09519877
  0.77415211]",0,[-0.384  0.274 -0.307]
"[ 0.1033269  -0.176679    0.03324494 -0.05262705 -0.18429756 -0.77972156
 -0.35506675]",0,[ 0.103 -0.177  0.033]
"[-0.06123087 -0.86693052 -0.71372517 -0.79289055  0.73930703  0.72602432
  0.22921079]",0,[-0.061 -0.867 -0.714]
"[-0.01096384 -0.43499872 -0.17412935 -0.7389404  -0.32934193 -0.02261475
  0.90590376]",0,[-0.011 -0.435 -0.174]
"[-0.68016358 -0.78678275 -0.85949884 -0.16818917 -0.88088872 -0.78117649
  0.84805233]",0,[-0.68  -0.787 -0.859]
"[ 0.41117952 -0.7981208   0.85331992  0.40853084  0.70629869 -0.52670395
 -0.12874079]",0,[ 0.411 -0.798  0.853]
"[-0.06529828  0.56505139  0.75122937  0.07941103 -0.75014206  0.35858771
 -0.70444782]",0,[-0.065  0.565  0.751]
"[-0.4821395   0.59273947 -0.18074934 -0.29364628 -0.00606358  0.88698836
 -0.1489518 ]",0,[-0.482  0.593 -0.181]
"[-0.25252563 -0.74648754 -0.53261038  0.06853566  0.347447   -0.06315223
 -0.23521811]",0,[-0.253 -0.746 -0.533]
"[-0.7252961  -0.51889402  0.45895073 -0.65719495 -0.56915807  0.67698957
 -0.06534829]",0,[-0.725 -0.519  0.459]
"[-4.38182804e-02  3.11612044e-03  5.58974717e-01  6.75027204e-04
  7.19906413e-01  2.77666645e-01  1.79260260e-01]",0,[-0.044  0.003  0.559]
"[-0.7138221  -0.06024038 -0.54871365 -0.87488758  0.0948662   0.27116716
 -0.55277907]",0,[-0.714 -0.06  -0.549]
"[ 0.4393691  -0.68173212 -0.97638554  0.10625821  0.242518   -0.34039214
  0.06611016]",0,[ 0.439 -0.682 -0.976]
"[-0.66024796  0.7448722   0.95316711 -0.56860975  0.65231276  0.11759299
  0.36955586]",0,[-0.66   0.745  0.953]
"[-0.52868155  0.02139635  0.1693706   0.89063012 -0.91259087  0.66172239
  0.14454615]",0,[-0.529  0.021  0.169]
"[-0.0933099  -0.09558391 -0.28892699  0.45603318 -0.69452323 -0.19039503
  0.79215328]",0,[-0.093 -0.096 -0.289]
"[ 0.83665564  0.85022821  0.54672157 -0.75282355 -0.50648941 -0.44169884
  0.81687648]",0,[0.837 0.85  0.547]
"[ 0.41250493  0.97051184 -0.74905315  0.26786404  0.79742524  0.53321169
  0.51187013]",0,[ 0.413  0.971 -0.749]
"[ 0.08553371 -0.68948763  0.89126498  0.63233102  0.78703061 -0.06350323
 -0.20121349]",0,[ 0.086 -0.689  0.891]
"[-0.3485031   0.32448837 -0.77827815  0.3313831   0.64841713 -0.78081961
  0.4687448 ]",0,[-0.349  0.324 -0.778]
"[ 0.34710617  0.45418813  0.44847831 -0.94310373  0.41144354  0.08683434
  0.01513635]",0,[0.347 0.454 0.448]
"[ 0.43488507  0.38983558 -0.717041    0.09676274 -0.41035645  0.86131353
  0.41494298]",0,[ 0.435  0.39  -0.717]
"[-0.33645977 -0.52315614  0.36985625 -0.61255011  0.46825023 -0.45757406
  0.1111975 ]",0,[-0.336 -0.523  0.37 ]
"[-0.83768751  0.91473505 -0.74461267  0.73197674 -0.01333641 -0.2686572
  0.89362524]",0,[-0.838  0.915 -0.745]
"[ 0.14797501 -0.60612423  0.01063076 -0.91903943 -0.50685556 -0.02601372
  0.31523586]",0,[ 0.148 -0.606  0.011]
"[-0.16534857  0.63452922 -0.57491616 -0.48701205 -0.1972617   0.38628769
  0.41956829]",0,[-0.165  0.635 -0.575]
"[-0.98784328 -0.88688393  0.54016425 -0.66309481 -0.73063494 -0.50689238
 -0.08801357]",0,[-0.988 -0.887  0.54 ]
"[-0.77242863  0.22963512 -0.53948823  0.72575507  0.17585777 -0.19169127
  0.97779806]",0,[-0.772  0.23  -0.539]
"[-0.76895677 -0.4528693  -0.2330825  -0.73517716 -0.75468102  0.82599978
  0.08957167]",0,[-0.769 -0.453 -0.233]
"[-0.58364288 -0.65576303 -0.72279054 -0.66020927 -0.12404568  0.89624333
 -0.81558396]",0,[-0.584 -0.656 -0.723]
"[ 0.05548715  0.58597269 -0.90716186  0.72427333  0.00749112  0.60534913
  0.74107426]",0,[ 0.055  0.586 -0.907]
"[-0.93331963  0.00339293 -0.53680253  0.68083738 -0.91049816  0.26701261
  0.04867509]",0,[-0.933  0.003 -0.537]
"[-0.18994624  0.66185712  0.8526057  -0.59118892  0.9672653  -0.86176461
  0.0091069 ]",0,[-0.19   0.662  0.853]
"[ 0.94052561 -0.3664146  -0.42233749  0.56114828 -0.02507193 -0.61449281
 -0.95703152]",0,[ 0.941 -0.366 -0.422]
"[ 0.50807773 -0.5776014  -0.90406821 -0.38604214 -0.30849663 -0.54799714
  0.68898918]",0,[ 0.508 -0.578 -0.904]
"[ 0.81651148 -0.55363587 -0.92622963 -0.03613485  0.33485166  0.10344545
 -0.31464685]",0,[ 0.817 -0.554 -0.926]
"[ 0.5272552  -0.30109653  0.72578675 -0.44458739 -0.60409962  0.14473398
 -0.33360567]",0,[ 0.527 -0.301  0.726]
"[-0.89886395 -0.80742031 -0.30334389  0.36977301 -0.51825595 -0.6392223
 -0.36902661]",0,[-0.899 -0.807 -0.303]
"[-0.16435434  0.6141651   0.18780573  0.05416482  0.26482214 -0.71467528
  0.92452821]",0,[-0.164  0.614  0.188]
"[-0.03610377  0.32903736 -0.96881777 -0.86074691 -0.0909557  -0.33439831
 -0.96000902]",0,[-0.036  0.329 -0.969]
"[ 0.21738391 -0.56083678  0.28241983  0.6990128  -0.18579604 -0.43136014
  0.8059343 ]",0,[ 0.217 -0.561  0.282]
"[-0.88215461 -0.01510162 -0.09053237  0.62343201 -0.78245546  0.05750634
 -0.86892424]",0,[-0.882 -0.015 -0.091]
