genome,fitness,behavior_descriptor
"[ 0.42836625  0.13757256  0.04560514 -0.4265043   0.53301723 -0.46414052
 -0.32685314]",0,[0.428 0.138 0.046]
"[-0.51942741  0.92843189  0.06276723 -0.28833194 -0.74580829  0.81995316
  0.53968054]",0,[-0.519  0.928  0.063]
"[ 0.00499987 -0.3477178  -0.50469559  0.52320798  0.05198317  0.63191756
 -0.43180196]",0,[ 0.005 -0.348 -0.505]
"[ 0.73183458  0.20437385 -0.90212158 -0.62365521  0.05741028 -0.32432194
 -0.98942363]",0,[ 0.732  0.204 -0.902]
"[ 0.97796844 -0.68947329  0.1535799   0.17974037 -0.0350588   0.22742538
 -0.08551947]",0,[ 0.978 -0.689  0.154]
"[ 0.01121537  0.40887539  0.71743616 -0.17377994  0.25766014  0.94898368
  0.836188  ]",0,[0.011 0.409 0.717]
"[ 0.76769064  0.52854891 -0.523495    0.06224531  0.76218689  0.49020736
  0.1603724 ]",0,[ 0.768  0.529 -0.523]
"[ 0.35208231 -0.58329531  0.51128565  0.04289916 -0.76517947  0.59340872
  0.98792327]",0,[ 0.352 -0.583  0.511]
"[ 0.79610395 -0.80531669 -0.40061603  0.92779629  0.69468651  0.92967611
 -0.28016644]",0,[ 0.796 -0.805 -0.401]
"[0.08438334 0.95009566 0.83691637 0.0917939  0.59074622 0.70531633
 0.40806394]",0,[0.084 0.95  0.837]
"[ 0.74839096  0.71574928  0.86946975 -0.87296734 -0.95190581 -0.74366972
 -0.99555621]",0,[0.748 0.716 0.869]
"[-0.49242033  0.93720443 -0.12486142 -0.05300476  0.858165    0.10071018
  0.57581404]",0,[-0.492  0.937 -0.125]
"[ 0.51420837 -0.3059817  -0.54492756  0.03966239  0.4398895  -0.92384118
 -0.59431035]",0,[ 0.514 -0.306 -0.545]
"[-0.9619895  -0.12308764  0.66339775 -0.57173434 -0.44011084  0.07401666
 -0.67886533]",0,[-0.962 -0.123  0.663]
"[-0.15963403 -0.54420395  0.2268443   0.42368791 -0.03994163 -0.75434621
 -0.94742402]",0,[-0.16  -0.544  0.227]
"[ 0.93728024 -0.17822483  0.44991383 -0.96991127 -0.00994236  0.06377085
 -0.91173115]",0,[ 0.937 -0.178  0.45 ]
"[-0.79099806  0.18022914 -0.23439389 -0.94903352 -0.67802515  0.24782489
 -0.02812234]",0,[-0.791  0.18  -0.234]
"[-0.07854698  0.33781928 -0.8778309   0.39763625  0.94767452  0.81203728
 -0.89474226]",0,[-0.079  0.338 -0.878]
"[ 0.2439487  -0.51529489  0.84966287  0.97578936 -0.45253481  0.33280343
  0.91232313]",0,[ 0.244 -0.515  0.85 ]
"[ 0.88895577  0.55700834  0.37460037 -0.64638206 -0.30369579 -0.76197705
 -0.48751526]",0,[0.889 0.557 0.375]
